,wavelength,R,G,B
93,454,0.0006293713744452431,-0.001616917910940876,0.01870903357330068
94,455,0.0005289147324253949,-0.0015393783900261434,0.018629347337265713
95,456,0.00042362941726023333,-0.0014561089146147104,0.01852613590382348
96,457,0.0003140634359032866,-0.0013673213863626896,0.018399658871602536
97,458,0.00020092443335520353,-0.0012732702787853966,0.018248938714424914
98,459,8.492898325247672e-05,-0.001174256312999877,0.01807362390027213
99,460,-3.3212591990171625e-05,-0.001070536946817523,0.01787273795092174
100,461,-0.00015241933113787658,-0.0009595401483686304,0.01759244157327478
101,462,-0.00027245042464039753,-0.0008444354581463317,0.017287148937473733
102,463,-0.00039351208314780553,-0.0007239247486053118,0.016948205727786974
103,464,-0.0005158230803400232,-0.0005967185226575918,0.016567048866452883
104,465,-0.0006395794000171207,-0.0004615412695769313,0.01613506292322606
105,466,-0.0007648747928882863,-0.0003175601115508389,0.015646294076003833
106,467,-0.0008909143071163904,-0.000166142861814304,0.015111171039778607
107,468,-0.0010165974513641606,-9.334971183732775e-06,0.014546368884198906
108,469,-0.0011408375909170443,0.00015083928172036811,0.013968396007994857
109,470,-0.0012625619128778735,0.00031237677889501804,0.013393594139478533
110,471,-0.001385989932494114,0.0004758611894537916,0.01287554559566816
111,472,-0.001507232994468713,0.0006411177490074477,0.012362919711296707
112,473,-0.001626304897954679,0.0008083018232326041,0.01185494442644684
113,474,-0.0017431691989298645,0.0009775439771453713,0.011350533487187975
114,475,-0.0018578358395658484,0.0011489988236364154,0.010848911739390404
115,476,-0.001970178927103831,0.0013227064286472098,0.010351977791062986
116,477,-0.0020801010695860136,0.001498173521841423,0.009862980652258402
117,478,-0.0021876616605213577,0.001674761503619744,0.00938314506657539
118,479,-0.002292857565901354,0.0018517848113159738,0.008913455739783041
119,480,-0.0023957457456119918,0.0020285976448783994,0.008455152001309165
120,481,-0.002478927390815244,0.0021893611885694373,0.007952641790840416
121,482,-0.002558786549946345,0.0023478059748715005,0.007469820799110391
122,483,-0.0026353541959665294,0.002504691941268637,0.0070081976481300426
123,484,-0.0027087337375776214,0.0026608298799347496,0.006569425198308564
124,485,-0.0027789586859092133,0.0028169442384880852,0.006154919695904036
125,486,-0.0028459744441409634,0.0029733388352203736,0.00576561267273669
126,487,-0.0029105512147245913,0.0031304649907772653,0.005400342176809305
127,488,-0.002973931169871335,0.0032892256824295645,0.00505739214599271
128,489,-0.0030374052730704915,0.0034505897875606677,0.004735217046971703
129,490,-0.0031021511628718857,0.0036154090137437856,0.004432163944804417
130,491,-0.0031913657280159347,0.003811281119908343,0.004176740939910145
131,492,-0.0032837002639988285,0.004014366737922206,0.003935749111049058
132,493,-0.0033788430910801576,0.004224503789766701,0.0037084013219417446
